offer_id,offer,price,score,repo,title,url,asset,intake,draft_reply,money_next_step
n8n-triage,n8n/自动化报错排查小单,¥99看报错，¥299单条工作流诊断，¥999修复+优化,19,BootstrapAI-mgmt/Literature-Review,🚨 Workflow Error: Doc Chain - Staleness - Parse Assessment,https://github.com/BootstrapAI-mgmt/Literature-Review/issues/119,https://1993921.xyz/mimo-ai-delivery-factory/tools/n8n-expression-triage/,https://github.com/zjl4616/mimo-ai-delivery-factory/issues/new?template=p06-expression-triage-request.yml,"I’d reduce this to the failing node + one sample input first. Most n8n issues become obvious once the incoming JSON shape and expression are visible. If you paste a sanitized node/error, I can help turn it into a small repro and fix path.",发布一条真人回复，目标不是卖课，是拿到脱敏样本/报错/CSV；对方给样本后报价体验单。
n8n-triage,n8n/自动化报错排查小单,¥99看报错，¥299单条工作流诊断，¥999修复+优化,19,BootstrapAI-mgmt/Literature-Review,🚨 Workflow Error: Doc Chain - Staleness - Aggregate Docs,https://github.com/BootstrapAI-mgmt/Literature-Review/issues/117,https://1993921.xyz/mimo-ai-delivery-factory/tools/n8n-expression-triage/,https://github.com/zjl4616/mimo-ai-delivery-factory/issues/new?template=p06-expression-triage-request.yml,"I’d reduce this to the failing node + one sample input first. Most n8n issues become obvious once the incoming JSON shape and expression are visible. If you paste a sanitized node/error, I can help turn it into a small repro and fix path.",发布一条真人回复，目标不是卖课，是拿到脱敏样本/报错/CSV；对方给样本后报价体验单。
n8n-triage,n8n/自动化报错排查小单,¥99看报错，¥299单条工作流诊断，¥999修复+优化,16,creadoria-ai/errors_workflows,facturas — payload,https://github.com/creadoria-ai/errors_workflows/issues/73,https://1993921.xyz/mimo-ai-delivery-factory/tools/n8n-expression-triage/,https://github.com/zjl4616/mimo-ai-delivery-factory/issues/new?template=p06-expression-triage-request.yml,"I’d reduce this to the failing node + one sample input first. Most n8n issues become obvious once the incoming JSON shape and expression are visible. If you paste a sanitized node/error, I can help turn it into a small repro and fix path.",发布一条真人回复，目标不是卖课，是拿到脱敏样本/报错/CSV；对方给样本后报价体验单。
lead-cleaning,外贸/B2B线索清洗 + WhatsApp开场白,¥199/100条体验，¥699/500条，¥1299/1000条,16,leadgenai123/leadgenerationai,AI Lead Generation in Dubai – Smart Solutions for Real Business Growth,https://github.com/leadgenai123/leadgenerationai/issues/2,https://1993921.xyz/mimo-ai-delivery-factory/offers/lead-cleaning-whatsapp/,https://github.com/zjl4616/mimo-ai-delivery-factory/issues/new?template=lead-cleaning-whatsapp.yml,"This looks like a data quality problem more than just an automation problem. I’d start with a tiny cleaned sample: dedupe the CSV, normalize company/contact fields, then tag A/B/C leads so the follow-up list is usable. If you can share a sanitized 20-row sample, I can show what the cleaned output should look like.",发布一条真人回复，目标不是卖课，是拿到脱敏样本/报错/CSV；对方给样本后报价体验单。
ai-customer-copy,商品/客服FAQ + 销售话术整理,¥299基础FAQ，¥999产品话术库，¥2999接入自动化,14,mohanveeramanikantak/marketing-engine-365,Day 060 - Chatbots,https://github.com/mohanveeramanikantak/marketing-engine-365/issues/61,https://1993921.xyz/mimo-ai-delivery-factory/products/ai-customer-support-faq-pack/,https://github.com/zjl4616/mimo-ai-delivery-factory/issues/new?template=customer-copy-faq.yml,"The fastest first step is to turn the repeated questions into a small FAQ table: user question, product fact, safe answer, and when to hand off. If you share a few anonymized examples, I can draft the first version so it’s actually usable.",发布一条真人回复，目标不是卖课，是拿到脱敏样本/报错/CSV；对方给样本后报价体验单。
n8n-triage,n8n/自动化报错排查小单,¥99看报错，¥299单条工作流诊断，¥999修复+优化,14,n8n-io/n8n,Data table refreshing columns bug,https://github.com/n8n-io/n8n/issues/26615,https://1993921.xyz/mimo-ai-delivery-factory/tools/n8n-expression-triage/,https://github.com/zjl4616/mimo-ai-delivery-factory/issues/new?template=p06-expression-triage-request.yml,"I’d reduce this to the failing node + one sample input first. Most n8n issues become obvious once the incoming JSON shape and expression are visible. If you paste a sanitized node/error, I can help turn it into a small repro and fix path.",发布一条真人回复，目标不是卖课，是拿到脱敏样本/报错/CSV；对方给样本后报价体验单。
n8n-triage,n8n/自动化报错排查小单,¥99看报错，¥299单条工作流诊断，¥999修复+优化,13,Ahmed03-ai/cap-n8n-plugin,US 2.5: Conditional Workflow Triggers,https://github.com/Ahmed03-ai/cap-n8n-plugin/issues/15,https://1993921.xyz/mimo-ai-delivery-factory/tools/n8n-expression-triage/,https://github.com/zjl4616/mimo-ai-delivery-factory/issues/new?template=p06-expression-triage-request.yml,"I’d reduce this to the failing node + one sample input first. Most n8n issues become obvious once the incoming JSON shape and expression are visible. If you paste a sanitized node/error, I can help turn it into a small repro and fix path.",发布一条真人回复，目标不是卖课，是拿到脱敏样本/报错/CSV；对方给样本后报价体验单。
n8n-triage,n8n/自动化报错排查小单,¥99看报错，¥299单条工作流诊断，¥999修复+优化,13,sameerdeshmukh/n8n-nodes-clickhouse,Bug: Buffer.from() in Authorization expression breaks Basic Auth (always 403 Forbidden),https://github.com/sameerdeshmukh/n8n-nodes-clickhouse/issues/10,https://1993921.xyz/mimo-ai-delivery-factory/tools/n8n-expression-triage/,https://github.com/zjl4616/mimo-ai-delivery-factory/issues/new?template=p06-expression-triage-request.yml,"I’d reduce this to the failing node + one sample input first. Most n8n issues become obvious once the incoming JSON shape and expression are visible. If you paste a sanitized node/error, I can help turn it into a small repro and fix path.",发布一条真人回复，目标不是卖课，是拿到脱敏样本/报错/CSV；对方给样本后报价体验单。
n8n-triage,n8n/自动化报错排查小单,¥99看报错，¥299单条工作流诊断，¥999修复+优化,13,sarvex/docs,Dependency Dashboard,https://github.com/sarvex/docs/issues/25,https://1993921.xyz/mimo-ai-delivery-factory/tools/n8n-expression-triage/,https://github.com/zjl4616/mimo-ai-delivery-factory/issues/new?template=p06-expression-triage-request.yml,"I’d reduce this to the failing node + one sample input first. Most n8n issues become obvious once the incoming JSON shape and expression are visible. If you paste a sanitized node/error, I can help turn it into a small repro and fix path.",发布一条真人回复，目标不是卖课，是拿到脱敏样本/报错/CSV；对方给样本后报价体验单。
n8n-triage,n8n/自动化报错排查小单,¥99看报错，¥299单条工作流诊断，¥999修复+优化,13,Kisgus/nearweek-automated-news-sourcing,🚀 PRODUCTION LIVE - System Successfully Deployed,https://github.com/Kisgus/nearweek-automated-news-sourcing/issues/7,https://1993921.xyz/mimo-ai-delivery-factory/tools/n8n-expression-triage/,https://github.com/zjl4616/mimo-ai-delivery-factory/issues/new?template=p06-expression-triage-request.yml,"I’d reduce this to the failing node + one sample input first. Most n8n issues become obvious once the incoming JSON shape and expression are visible. If you paste a sanitized node/error, I can help turn it into a small repro and fix path.",发布一条真人回复，目标不是卖课，是拿到脱敏样本/报错/CSV；对方给样本后报价体验单。
n8n-triage,n8n/自动化报错排查小单,¥99看报错，¥299单条工作流诊断，¥999修复+优化,13,deedk822-lang/The-lab-verse-monitoring-,CROSS-01 Follow-up: Technical Implementation & Setup,https://github.com/deedk822-lang/The-lab-verse-monitoring-/issues/311,https://1993921.xyz/mimo-ai-delivery-factory/tools/n8n-expression-triage/,https://github.com/zjl4616/mimo-ai-delivery-factory/issues/new?template=p06-expression-triage-request.yml,"I’d reduce this to the failing node + one sample input first. Most n8n issues become obvious once the incoming JSON shape and expression are visible. If you paste a sanitized node/error, I can help turn it into a small repro and fix path.",发布一条真人回复，目标不是卖课，是拿到脱敏样本/报错/CSV；对方给样本后报价体验单。
ai-customer-copy,商品/客服FAQ + 销售话术整理,¥299基础FAQ，¥999产品话术库，¥2999接入自动化,11,zjl4616/mimo-ai-delivery-factory,Product Test: Shopify FAQ客服机器人,https://github.com/zjl4616/mimo-ai-delivery-factory/issues/16,https://1993921.xyz/mimo-ai-delivery-factory/products/ai-customer-support-faq-pack/,https://github.com/zjl4616/mimo-ai-delivery-factory/issues/new?template=customer-copy-faq.yml,"The fastest first step is to turn the repeated questions into a small FAQ table: user question, product fact, safe answer, and when to hand off. If you share a few anonymized examples, I can draft the first version so it’s actually usable.",发布一条真人回复，目标不是卖课，是拿到脱敏样本/报错/CSV；对方给样本后报价体验单。
lead-cleaning,外贸/B2B线索清洗 + WhatsApp开场白,¥199/100条体验，¥699/500条，¥1299/1000条,11,chatmcp/mcpso,Add Google Maps Business & Lead Gen MCP Server,https://github.com/chatmcp/mcpso/issues/1293,https://1993921.xyz/mimo-ai-delivery-factory/offers/lead-cleaning-whatsapp/,https://github.com/zjl4616/mimo-ai-delivery-factory/issues/new?template=lead-cleaning-whatsapp.yml,"This looks like a data quality problem more than just an automation problem. I’d start with a tiny cleaned sample: dedupe the CSV, normalize company/contact fields, then tag A/B/C leads so the follow-up list is usable. If you can share a sanitized 20-row sample, I can show what the cleaned output should look like.",发布一条真人回复，目标不是卖课，是拿到脱敏样本/报错/CSV；对方给样本后报价体验单。
lead-cleaning,外贸/B2B线索清洗 + WhatsApp开场白,¥199/100条体验，¥699/500条，¥1299/1000条,11,cline/mcp-marketplace,Add Google Maps Business & Lead Gen MCP Server,https://github.com/cline/mcp-marketplace/issues/1062,https://1993921.xyz/mimo-ai-delivery-factory/offers/lead-cleaning-whatsapp/,https://github.com/zjl4616/mimo-ai-delivery-factory/issues/new?template=lead-cleaning-whatsapp.yml,"This looks like a data quality problem more than just an automation problem. I’d start with a tiny cleaned sample: dedupe the CSV, normalize company/contact fields, then tag A/B/C leads so the follow-up list is usable. If you can share a sanitized 20-row sample, I can show what the cleaned output should look like.",发布一条真人回复，目标不是卖课，是拿到脱敏样本/报错/CSV；对方给样本后报价体验单。
ai-customer-copy,商品/客服FAQ + 销售话术整理,¥299基础FAQ，¥999产品话术库，¥2999接入自动化,10,Shopify/Shopify-AI-Toolkit,"📝 Question: Does `shopify-dev` skill effectively replace ""Shopify Dev MCP"" (+2 suggestions)",https://github.com/Shopify/Shopify-AI-Toolkit/issues/14,https://1993921.xyz/mimo-ai-delivery-factory/products/ai-customer-support-faq-pack/,https://github.com/zjl4616/mimo-ai-delivery-factory/issues/new?template=customer-copy-faq.yml,"The fastest first step is to turn the repeated questions into a small FAQ table: user question, product fact, safe answer, and when to hand off. If you share a few anonymized examples, I can draft the first version so it’s actually usable.",发布一条真人回复，目标不是卖课，是拿到脱敏样本/报错/CSV；对方给样本后报价体验单。
lead-cleaning,外贸/B2B线索清洗 + WhatsApp开场白,¥199/100条体验，¥699/500条，¥1299/1000条,10,ad2connect3/Ad2connect-One-of-the-Best-Digital-Marketing-Agencies-in-Mumbai-Driving-Business-Growth,Ad2Connect – Delivering the Best Local SEO Services in Mumbai & India,https://github.com/ad2connect3/Ad2connect-One-of-the-Best-Digital-Marketing-Agencies-in-Mumbai-Driving-Business-Growth/issues/2,https://1993921.xyz/mimo-ai-delivery-factory/offers/lead-cleaning-whatsapp/,https://github.com/zjl4616/mimo-ai-delivery-factory/issues/new?template=lead-cleaning-whatsapp.yml,"This looks like a data quality problem more than just an automation problem. I’d start with a tiny cleaned sample: dedupe the CSV, normalize company/contact fields, then tag A/B/C leads so the follow-up list is usable. If you can share a sanitized 20-row sample, I can show what the cleaned output should look like.",发布一条真人回复，目标不是卖课，是拿到脱敏样本/报错/CSV；对方给样本后报价体验单。
n8n-triage,n8n/自动化报错排查小单,¥99看报错，¥299单条工作流诊断，¥999修复+优化,10,elementor/elementor,"Form Webhooks ""No Label"" breaks integrations ",https://github.com/elementor/elementor/issues/27399,https://1993921.xyz/mimo-ai-delivery-factory/tools/n8n-expression-triage/,https://github.com/zjl4616/mimo-ai-delivery-factory/issues/new?template=p06-expression-triage-request.yml,"I’d reduce this to the failing node + one sample input first. Most n8n issues become obvious once the incoming JSON shape and expression are visible. If you paste a sanitized node/error, I can help turn it into a small repro and fix path.",发布一条真人回复，目标不是卖课，是拿到脱敏样本/报错/CSV；对方给样本后报价体验单。
n8n-triage,n8n/自动化报错排查小单,¥99看报错，¥299单条工作流诊断，¥999修复+优化,10,GertTimmerman/statamic-zapier,Only super admin is allowed to save the form,https://github.com/GertTimmerman/statamic-zapier/issues/2,https://1993921.xyz/mimo-ai-delivery-factory/tools/n8n-expression-triage/,https://github.com/zjl4616/mimo-ai-delivery-factory/issues/new?template=p06-expression-triage-request.yml,"I’d reduce this to the failing node + one sample input first. Most n8n issues become obvious once the incoming JSON shape and expression are visible. If you paste a sanitized node/error, I can help turn it into a small repro and fix path.",发布一条真人回复，目标不是卖课，是拿到脱敏样本/报错/CSV；对方给样本后报价体验单。
lead-cleaning,外贸/B2B线索清洗 + WhatsApp开场白,¥199/100条体验，¥699/500条，¥1299/1000条,8,chatmcp/mcpso,Submit MCP Server: Google Maps Local Business MCP Server,https://github.com/chatmcp/mcpso/issues/1090,https://1993921.xyz/mimo-ai-delivery-factory/offers/lead-cleaning-whatsapp/,https://github.com/zjl4616/mimo-ai-delivery-factory/issues/new?template=lead-cleaning-whatsapp.yml,"This looks like a data quality problem more than just an automation problem. I’d start with a tiny cleaned sample: dedupe the CSV, normalize company/contact fields, then tag A/B/C leads so the follow-up list is usable. If you can share a sanitized 20-row sample, I can show what the cleaned output should look like.",发布一条真人回复，目标不是卖课，是拿到脱敏样本/报错/CSV；对方给样本后报价体验单。
lead-cleaning,外贸/B2B线索清洗 + WhatsApp开场白,¥199/100条体验，¥699/500条，¥1299/1000条,8,e2b-dev/awesome-ai-agents,Add OpenCrab (runskill.ai) - AI Skill Marketplace with 125K+ Automations,https://github.com/e2b-dev/awesome-ai-agents/issues/387,https://1993921.xyz/mimo-ai-delivery-factory/offers/lead-cleaning-whatsapp/,https://github.com/zjl4616/mimo-ai-delivery-factory/issues/new?template=lead-cleaning-whatsapp.yml,"This looks like a data quality problem more than just an automation problem. I’d start with a tiny cleaned sample: dedupe the CSV, normalize company/contact fields, then tag A/B/C leads so the follow-up list is usable. If you can share a sanitized 20-row sample, I can show what the cleaned output should look like.",发布一条真人回复，目标不是卖课，是拿到脱敏样本/报错/CSV；对方给样本后报价体验单。
lead-cleaning,外贸/B2B线索清洗 + WhatsApp开场白,¥199/100条体验，¥699/500条，¥1299/1000条,8,JWalshe86/career,Api integration,https://github.com/JWalshe86/career/issues/62,https://1993921.xyz/mimo-ai-delivery-factory/offers/lead-cleaning-whatsapp/,https://github.com/zjl4616/mimo-ai-delivery-factory/issues/new?template=lead-cleaning-whatsapp.yml,"This looks like a data quality problem more than just an automation problem. I’d start with a tiny cleaned sample: dedupe the CSV, normalize company/contact fields, then tag A/B/C leads so the follow-up list is usable. If you can share a sanitized 20-row sample, I can show what the cleaned output should look like.",发布一条真人回复，目标不是卖课，是拿到脱敏样本/报错/CSV；对方给样本后报价体验单。
n8n-triage,n8n/自动化报错排查小单,¥99看报错，¥299单条工作流诊断，¥999修复+优化,7,czlonkowski/n8n-mcp,Invalid JSON Created by MCP,https://github.com/czlonkowski/n8n-mcp/issues/99,https://1993921.xyz/mimo-ai-delivery-factory/tools/n8n-expression-triage/,https://github.com/zjl4616/mimo-ai-delivery-factory/issues/new?template=p06-expression-triage-request.yml,"I’d reduce this to the failing node + one sample input first. Most n8n issues become obvious once the incoming JSON shape and expression are visible. If you paste a sanitized node/error, I can help turn it into a small repro and fix path.",发布一条真人回复，目标不是卖课，是拿到脱敏样本/报错/CSV；对方给样本后报价体验单。
n8n-triage,n8n/自动化报错排查小单,¥99看报错，¥299单条工作流诊断，¥999修复+优化,5,czlonkowski/n8n-mcp,"JSON Parsing Error: ""Expected ',' or '}' after property value"" at position 159",https://github.com/czlonkowski/n8n-mcp/issues/110,https://1993921.xyz/mimo-ai-delivery-factory/tools/n8n-expression-triage/,https://github.com/zjl4616/mimo-ai-delivery-factory/issues/new?template=p06-expression-triage-request.yml,"I’d reduce this to the failing node + one sample input first. Most n8n issues become obvious once the incoming JSON shape and expression are visible. If you paste a sanitized node/error, I can help turn it into a small repro and fix path.",发布一条真人回复，目标不是卖课，是拿到脱敏样本/报错/CSV；对方给样本后报价体验单。
